Ranking,Title,Genre,Publisher,Year,Directors,Plot,Rating,Votes,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platforms
"1",".hack//G.U. Vol.1//Rebirth","Role-Playing","Namco Bandai Games","2006","Hiroshi Matsuyama","Missing",7.7,86,0,0,0.17,0,0.17,"PS2"
"2",".hack//G.U. Vol.2//Reminisce","Role-Playing","Namco Bandai Games","2006","Hiroshi Matsuyama","Missing",7.1,43,0.11,0.09,0,0.03,0.23,"PS2"
"3",".hack//G.U. Vol.3//Redemption","Role-Playing","Namco Bandai Games","2007","Hiroshi Matsuyama","Missing",7.9,43,0,0,0.17,0,0.17,"PS2"
"4",".hack//Link","Role-Playing","Namco Bandai Games","2010","Hiroshi Matsuyama","Missing",5.9,11,0,0,0.14,0,0.14,"PSP"
"5","007 Racing","Racing","Electronic Arts","2000","Missing","You are Bond, James Bond, behind the wheel of the famous Bond vehicles and a new rental car. When a freighter bound for Halifax, Canada was intercepted and eliminated with military ...                See full summary »",5.5,152,0.3,0.2,0,0.03,0.53,"PS"
"6","1942","Shooter","Capcom","1984","Missing","1942 is a vertically scrolling shooter made by Capcom. 1942 is set in the Pacific theater of World War II.",6.8,138,0.65,0.14,0.21,0,1,"NES"
"7","2002 FIFA World Cup","Sports","Electronic Arts","2001","Missing","FIFA World Cup 2002 is the second EA Sports official World Cup video game developed by EA Canada and Creations.",7,236,0.39,0.22,0.16,0.07,0.83,"PS2|XB|GC"
"8","24: The Game","Adventure","Sony Computer Entertainment","2006","Perelandra Beedles","CTU is investigating a series of terrorist attacks in the Los Angeles area ranging from an assassination attempt on the vice president to the kidnapping of the chairman of a highly profitable corporation.",7.7,757,0.15,0.12,0,0.04,0.3,"PS2"
"9","25 to Life","Shooter","Eidos Interactive","2006","Missing","Andre Francis gets involved into the life of gangsters and crimes & trys to find redemption",5.7,97,0.47,0.05,0,0.07,0.59,"XB|PS2"
"10","2Xtreme","Sports","Sony Computer Entertainment","1996","Missing","Missing",4.5,12,1.15,0.2,0,0.05,1.4,"PS"
"11","300: March to Glory","Action","Warner Bros. Interactive Entertainment","2007","Missing","Videogame adaptation of the hit film ""300"".",5.5,132,0.27,0.08,0,0.06,0.41,"PSP"
"12","3D Dot Game Heroes","Role-Playing","SouthPeak Games","2009","Kôichi Watanabe","Missing",7.3,29,0.36,0.12,0.03,0.07,0.57,"PS3"
"13","3Xtreme","Action","989 Studios","1999","Missing","3Xtreme (pronounced as ""extreme"") is a racing game released for the PlayStation in 1999. As with 2Xtreme, 3Xtreme contains skateboarding, skating, and cycling options to reach the goal ...                See full summary »",7.3,22,0.5,0.34,0,0.06,0.9,"PS"
"14","4 Elements","Puzzle","Mastertronic","2008","Missing","After the destruction of the 4 elements of the earth, The doors between reality and fiction are crumbling, Can you save the ancient kingdom from certain doom.. Welcome player to 4 elements.",6.5,10,0,0.04,0,0.01,0.05,"PC"
"15","40 Winks","Platform","GT Interactive","1999","Missing","When Nitekap became angry for not being able to get a good nights sleep, he devises a plan to take away everyone else's nap times by abducting the 40 Winks. The Winks are the creatures that...                See full summary »",7.9,52,0.17,0.12,0,0.02,0.31,"PS"
"16","4x4 EVO 2","Racing","Gathering of Developers","2001","Missing","Missing",5.5,17,0.18,0.05,0,0.01,0.24,"XB"
"17","4x4 EVO 2","Racing","Vivendi Games","2001","Missing","Missing",5.5,17,0.11,0.03,0,0,0.14,"GC"
"18","50 Cent: Blood on the Sand","Shooter","THQ","2009","David Wheeler, Blade Zavier, Shaun Escayg","It's set in an urban warzone in an unnamed Middle Eastern country, where 50 Cent and G-Unit involve with a paramilitary group led by the terrorist Kamal.",6.3,169,0.22,0.13,0.01,0.05,0.4,"PS3|X360"
"19","50 Cent: Bulletproof","Action","Vivendi Games","2005","Andre Emerson","50 Cent gets an urgent page from an old cell mate and walks into an ambush, he gets caught in a web of corruption, double-crosses and shady deals as he blasts his way to the truth.",3.8,555,1.26,0.86,0,0.19,2.3,"PS2|PSP|XB"
"20","7 Days to Die","Action","Telltale Games","2013","Joel Huenink","Try to survive during a zombie apocalypse. Every seven days, a horde comes. If you die without surviving the first horde,you lose every thing and start over with nothing... Can you survive?",6.3,215,0.05,0.09,0,0.02,0.16,"PS4|XOne"
"21","A Boy and His Blob","Platform","Majesco Entertainment","2009","Sean Velasco","A boy and his blob makes it's triumphant return! A re-imagining of the NES classic, as the boy, you feed your blob jelly beans and watch him transform into cool and useful objects to solve ...                See full summary »",6.2,49,0.19,0.02,0,0.02,0.22,"Wii"
"22","A Bug's Life","Platform","Activision","1998","Jon Burton","Experience Flik's journey throughout Ant Island.",6.6,720,0.49,0.13,0,0.01,0.63,"N64"
"23","A Bug's Life","Platform","Sony Computer Entertainment","1998","Jon Burton","Experience Flik's journey throughout Ant Island.",6.6,720,1.96,0.72,0,0.11,2.79,"PS"
"24","A New Beginning","Adventure","Deep Silver","2010","Jan Müller-Michaelis","In the far future, due to ecological disasters, life is only possible in caves deep under the ground and the human race is about to disappear. Some inventors were able to develop a time machine and they send some researchers back in time.",7.3,53,0,0.05,0,0.01,0.06,"PC"
"25","ATV Offroad Fury","Racing","Sony Computer Entertainment","2001","Missing","Missing",7.7,54,2.07,0.26,0,0.08,2.41,"PS2"
"26","ATV Offroad Fury 2","Racing","THQ","2002","Glen Van Datta","Missing",8.3,27,1.92,0.2,0,0.06,2.18,"PS2"
"27","Ace Attorney Investigations 2","Adventure","Capcom","2011","Takeshi Yamazaki","The famous prosecutor, Miles Edgeworth, solves five different murder cases, all related to a past incident, while also learning about his father's past as a defense attorney.",8.7,98,0,0,0.26,0,0.26,"DS"
"28","Ace Attorney Investigations: Miles Edgeworth","Adventure","Capcom","2009","Takeshi Yamazaki","The player control prosecutor Miles Edgeworth, who investigates five cases that tie together to form an overarching story about a smuggling ring.",7.2,128,0.27,0.15,0.3,0.04,0.76,"DS"
"29","Ace Combat 04: Shattered Skies","Simulation","Sony Computer Entertainment Europe","2001","Missing","A pilot known as Mobius 1 fights with ISAF in an impossible war with the invading fascist nation of Erusea, while a young orphan boy in a Erusea-occupied city befriends a Erusean pilot.",8.5,198,2.06,0.56,0.38,0.17,3.17,"PS2"
"30","Ace Combat 2","Simulation","Sony Computer Entertainment","1997","Missing","A group of rebel military forces launch a massive insurrection all over the Usean continent. The takeover occurs just as several political leaders attend a peace summit in a faraway ...                See full summary »",7.9,86,0.16,0.11,0.56,0.06,0.89,"PS"
"31","Ace Combat 3: Electrosphere","Simulation","Sony Computer Entertainment","1999","Missing","Ace Combat 3: Electrosphere is a flight simulation game made by Namco for the PlayStation game console.",8,69,0.22,0.15,0.4,0.05,0.83,"PS"
"32","Ace Combat 5: The Unsung War","Simulation","Sony Computer Entertainment Europe","2004","Kazutoki Kono","15 years after the Belkan War, the Osean Wardog squadron finds itself in the center of an unexplained war with the formerly allied nation of Yuktobania.",8.5,253,0.88,0.34,0.32,0.18,1.71,"PS2"
"33","Ace Combat 6: Fires of Liberation","Simulation","Atari","2007","Natsuki Isaki, Sam Riegel, Liam O'Brien","Missing",7.7,146,0.69,0.04,0.22,0.06,1.02,"X360"
"34","Ace Combat X: Skies of Deception","Simulation","Namco Bandai Games","2006","Masanori Kato, Toshiyuki Kusakihara, Tsutomu Setomoto","The player commands the Gryphus Squadron, one of the last to remain for Aurelia with its single airbase, a nation on the southern edge of the Osean Continent. In 2020, Aurelia is attacked ...                See full summary »",7.6,43,0.37,0.31,0.12,0.19,0.99,"PSP"
"35","Ace Combat Zero: The Belkan War","Simulation","Namco Bandai Games","2006","Naoto Maeda","A prequel taking place in the Belkan War, 15 years before the events of Ace Combat 5, this game follows the role of a legendary ace in the hate-fueled war.",8.3,134,0.15,0.12,0.2,0.04,0.51,"PS2"
"36","Ace Combat: Assault Horizon","Action","Namco Bandai Games","2011","Missing","The game's story mainly focuses on members of the United Nations' 108th Task Force, a joint NATO-Russia military organization primarily assigned to quell a rebellion spreading over East Africa set in 2015-2016.",7,158,0.6,0.28,0.25,0.11,1.23,"PS3|X360"
"37","Ace Combat: Joint Assault","Simulation","Namco Bandai Games","2010","Taichi Wada","Missing",7.7,7,0.06,0.05,0.15,0.03,0.29,"PSP"
"38","Adidas Power Soccer","Sports","Psygnosis","1996","Dominique Biehler","A football game sponsored by Adidas.",6.1,21,0.02,0.01,0,0,0.04,"PS"
"39","Advance Guardian Heroes","Role-Playing","Ubisoft","2004","Tetsuhiko Kikuchi","Missing",5.8,10,0.03,0.01,0,0,0.04,"GBA"
"40","Advance Wars","Strategy","Nintendo","2001","Tohru Narihiro","When Blue Moon troops enter Orange Star territory, the Commanding Officers of the Orange Star army plan a campaign to expel the enemy from their country.",7.7,148,0.5,0.19,0,0.01,0.7,"GBA"
"41","Advance Wars 2: Black Hole Rising","Strategy","Nintendo","2003","Makoto Shimojo","Black Hole have launched a large-scale invasion of Macro Land. The four allied armies must work together to drive Black Hole out of their world once and for all.",7.9,88,0.47,0.17,0,0.01,0.65,"GBA"
"42","Advance Wars: Days of Ruin","Strategy","Nintendo","2008","Daisuke Nakajima, Masaki Tawara","Missing",6.6,11,0.44,0.13,0,0.06,0.63,"DS"
"43","Advance Wars: Dual Strike","Strategy","Nintendo","2005","Missing","Omega Land is under attack by a curiously strong Black Hole force. With the newly formed Allied Nations, combining COs from all lands, Black Hole must be pushed out of Wars World for good.",8,98,0.3,0.03,0.04,0.03,0.4,"DS"
"44","Advent Rising","Action","THQ","2005","Donald Mustard","Rookie space pilot Gideon Wyeth is thrown into battle when a vicious race, known as ""the Seekers"" invade and attack the space station.",7.5,238,0.1,0.03,0,0,0.13,"XB"
"45","Adventure","Adventure","Atari","1979","Missing","An evil magician steals an enchanted chalice from the yellow castle. And you have to retrieve it.",7.2,84,1.21,0.08,0,0.01,1.3,"2600"
"46","Adventure Island","Platform","Hudson Soft","1986","Missing","Master Higgins ventures to Adventure Island in the South Pacific after hearing that the Evil Witch Doctor kidnapped Princess Tina.",7.2,157,0,0,1.05,0,1.05,"NES"
"47","Adventure Time: Explore the Dungeon Because I Don't Know!","Action","D3Publisher","2013","Tomm Hulett","Princess Bubblegum summons Finn and Jake to the Candy Kingdom to investigate the large and secret Royal Dungeon that lies below the Land of Ooo.",6.6,52,0.17,0.1,0,0.03,0.3,"PS3|WiiU|X360|3DS"
"48","Adventure Time: Finn & Jake Investigations","Action","Little Orbit","2015","Dave Ellis","BMO broke Finn Favorite Record and while BMO tries to fix it, Finn and Jake Investigate Cases all Around Ooo will they be able to solve them all and fix Finn Favorite Record?",6.9,65,0.14,0.26,0,0.05,0.45,"WiiU|3DS|PS3|XOne|PS4|X360"
"49","Adventure Time: The Secret of the Nameless Kingdom","Action","Little Orbit","2014","Tomm Hulett","Someone has kidnapped all of princesses of the Nameless Kingdom, Naturally Princess Bubblegum sends Finn and his best bud Jake on a heroic adventure to rescue, After all, every kingdom needs a princess who rules.",6,26,0,0.15,0,0.01,0.17,"X360|3DS"
"50","Adventures of Lolo","Puzzle","HAL Laboratory","1989","Missing","Missing",7.1,47,0.06,0,0,0,0.06,"NES"
"51","AeroFighters Assault","Action","Video System","1997","T. Sakon","Missing",6,10,0.15,0.04,0,0,0.19,"N64"
"52","Afrika","Adventure","Unknown","2008","Missing","Missing",7.3,15,0.12,0,0.08,0.01,0.21,"PS3"
"53","Afro Samurai","Action","Atari","2009","Missing","In this video game adaption of the popular anime, you gain control over the emotionless Afro Samurai as he kills various cyborgs, assassins, and ninjas to become Number 1.",6.9,383,0.28,0.1,0,0.05,0.44,"X360|PS3"
"54","Agatha Christie: And Then There Were None","Adventure","The Adventure Company","2005","Scott Nixon","The World's Best Selling Mystery Novel is Coming to the PC! Agatha Christie's world-famous novel, And Then There Were None, is brought to the PC with all of its original baffling suspense! ...                See full summary »",7.6,120,0.06,0.01,0,0.01,0.08,"Wii"
"55","Agatha Christie: Death on the Nile","Adventure","Big Fish Games","2007","Jane Jensen","Hidden object adventure game featuring famous Belgian detective Hercule Poirot who's on a Nile River cruise. A heiress is murdered on the ship and it turns out that almost every passenger had a motive. From a classic mystery novel.",7.7,46,0,0.01,0,0,0.02,"PC"
"56","Agatha Christie: Evil Under the Sun","Adventure","The Adventure Company","2007","Mike Adams, Scott Nixon","Trying to find how a millionaire wound up with a phony diamond brings Hercule Poirot to an exclusive island resort frequented by the rich and famous. When a murder is committed, everyone has an alibi.",7.9,71,0.07,0.02,0,0.01,0.09,"Wii"
"57","Agatha Christie: Peril at End House","Adventure","JoWood Productions","2007","Jane Jensen","First person hidden-object adventure game based on eponymous Agatha Christie's novel about famous Belgian private detective Hercule Poirot who is asked by a near-broke tomboyish heiress to investigate if someone is trying to kill her.",7,25,0,0.01,0,0,0.01,"PC"
"58","Agatha Christie: The ABC Murders","Adventure","JoWood Productions","2016","Pascal Cammisotto, Renaud Charpentier","Missing",6.3,52,0.08,0.01,0,0.01,0.1,"DS"
"59","Agatha Christie: The ABC Murders","Adventure","Microids","2016","Pascal Cammisotto, Renaud Charpentier","Missing",6.3,52,0,0.02,0,0,0.02,"PC"
"60","Age of Empires II: The Age of Kings","Strategy","Microsoft Game Studios","1999","Paul DeNigris","The Age of Kings is set in the Middle Ages and contains thirteen playable civilizations.",8.8,3382,0.01,0.08,0,0.02,0.1,"PC"
"61","Age of Empires III","Strategy","Microsoft Game Studios","2005","Kris Zimmerman","Age of Empires III portrays the European colonization of the Americas, between approximately 1492 and 1876 AD. Command one of eight mighty European powers and colonize vast, uncharted territory.",7.8,2614,0,0.32,0,0.07,0.39,"PC"
"62","Age of Empires Online","Strategy","Microsoft Game Studios","2011","Missing","Missing",6.2,25,0.01,0.04,0,0.01,0.06,"PC"
"63","Age of Empires: Mythologies","Strategy","THQ","2008","Missing","Missing",7.7,85,0.17,0.03,0,0.02,0.22,"DS"
"64","Age of Empires: The Age of Kings","Strategy","THQ","2006","Missing","Commanding either the Britons, Franks, Mongols, Saracens, or the Japanese, you must fight your way through the campaign of this turn-based strategy game.",8.5,948,0.19,0.02,0,0.02,0.23,"DS"
"65","Age of Mythology","Strategy","Microsoft Game Studios","2002","Missing","Arkantos, the heroic admiral of Atlantis, looks for a cause of a series of menacing omens, and accidentally intervenes in the titans' dark plan of preparing an uprising against the gods.",8.3,2099,0.02,0.06,0,0.01,0.09,"PC"
"66","Aggressive Inline","Sports","Acclaim Entertainment","2002","Missing","Features professional inline skater and introduces the Juice Meter and Action Button with up to 60 objectives and 15 cinematic events per each of 7 huge levels.",7.3,49,0.26,0.15,0,0.04,0.47,"GC|XB|PS2"
"67","Aidyn Chronicles: The First Mage","Role-Playing","THQ","2001","Christopher Bailey, David Dubord","Missing",7.2,29,0.08,0.02,0,0,0.1,"N64"
"68","Air Combat","Simulation","Sony Computer Entertainment","1993","Missing","Missing",5.8,7,0.92,0.33,0.52,0.05,1.83,"PS"
"69","Air Combat","Simulation","Sony Computer Entertainment","1995","Missing","Take to the skies in fighter jets on varied missions to defeat the enemy.",6.8,58,0.92,0.33,0.52,0.05,1.83,"PS"
"70","Air Conflicts: Secret Wars","Simulation","bitComposer Games","2011","Peter Nagy","Missing",5.6,9,0.16,0.1,0,0.05,0.3,"X360|PS3|PC"
"71","Air-Sea Battle","Shooter","Atari","1977","Missing","Be an artillery commander, submarine captain, or aircraft bombardier, firing at enemy ships and planes. Or, relax with some R&R at a shooting gallery - picking off animated ducks, rabbits ...                See full summary »",5.7,23,0.91,0.06,0,0.01,0.98,"2600"
"72","Airblade","Sports","Sony Computer Entertainment","2001","Missing","Features an awesome mission-based Story Mode, unbelievable tricks and stunts, and even a Party-Play mode for up to 8 players.",6.6,48,0.11,0.09,0,0.03,0.23,"PS2"
"73","Akiba's Trip: Undead & Undressed","Action","Acquire","2013","Missing","It is the sequel to Akiba's Trip on the PlayStation Portable and the storyline revolves around a conspiracy behind the Magaimono organization that the player explores.",6.7,42,0.08,0,0.01,0.02,0.11,"PS4"
"74","Akiba's Trip: Undead & Undressed","Action","Nippon Ichi Software","2013","Missing","It is the sequel to Akiba's Trip on the PlayStation Portable and the storyline revolves around a conspiracy behind the Magaimono organization that the player explores.",6.7,42,0.14,0.03,0.12,0.04,0.32,"PS3|PSV"
"75","Akuji the Heartless","Platform","Eidos Interactive","1998","Missing","Akuji, a voodoo priest is betrayed and murdered by his brother on the eve of his wedding to the daughter of a Chief from a rival tribe. Awaking in the underworld, Akuji must fight his way ...                See full summary »",7.4,45,0.07,0.04,0,0.01,0.12,"PS"
"76","Alan Wake","Action","Microsoft Game Studios","2010","Petri Järvilehto","While on vacation in the small town of Bright Falls, a struggling writer must investigate the mysterious disappearance of his wife while events from his latest manuscript, which he can't remember writing, begin to come true.",8.5,5933,0.66,0.51,0.05,0.13,1.35,"X360"
"77","Alan Wake","Action","Nordic Games","2010","Petri Järvilehto","While on vacation in the small town of Bright Falls, a struggling writer must investigate the mysterious disappearance of his wife while events from his latest manuscript, which he can't remember writing, begin to come true.",8.5,5933,0,0.06,0,0.01,0.07,"PC"
"78","Alias","Action","Acclaim Entertainment","2004","Missing","Based on the hit television show, a third-person based game about CIA/Alliance double-agent Sydney Bristow.",6.5,488,0.09,0.05,0,0.01,0.16,"PS2|XB"
"79","Alice in Wonderland","Adventure","Disney Interactive Studios","2010","Missing","Prepare to journey down the rabbit hole and into a land beyond your wildest imaginings. In Alice in Wonderland, the world of the dazzling Tim Burton film bursts onto your screen, filled ...                See full summary »",6.2,213,0.54,0.39,0,0.1,1.03,"DS|Wii"
"80","Alice: Madness Returns","Adventure","Electronic Arts","2011","Benjamin Kerslake, Paul Kurowski","10 year old Alice lost her family in a fire. For 10 years she remained catatonic in an asylum while her condition caused Wonderland to turn - dark.",8.2,1303,0.49,0.5,0.08,0.15,1.22,"PC|X360|PS3"
"81","Alien","Action","20th Century Fox Video Games","1982","Missing","Ellen Ripley is stuck with aliens in a building and she has to save Rebecca and all she has is a flame thrower .",7.5,133,0.74,0.04,0,0.01,0.79,"2600"
"82","Alien","Action","20th Century Fox Video Games","1984","Missing","Missing",7.2,13,0.74,0.04,0,0.01,0.79,"2600"
"83","Alien Hominid","Shooter","O3 Entertainment","2004","Missing","You are a yellow alien who's UFO has crash landed, and the FBI is trying to kill you! Take them out with different weapons, moves, and vehicles. Loads of old-skool 2D Platformer fun!",7,134,0.07,0.02,0,0,0.09,"GC"
"84","Alien Hominid","Shooter","Zoo Digital Publishing","2004","Missing","You are a yellow alien who's UFO has crash landed, and the FBI is trying to kill you! Take them out with different weapons, moves, and vehicles. Loads of old-skool 2D Platformer fun!",7,134,0.05,0.04,0,0.01,0.1,"PS2"
"85","Alien Syndrome","Role-Playing","Sega","1987","Missing","Alien Syndrome is a 1987 arcade game released by Sega. It runs on Sega System 16 hardware. The user plays as either Ricky and Mary rescuing hostages within a set time limit while blasting ...                See full summary »",6.4,40,0.13,0,0,0.01,0.14,"Wii|PSP"
"86","Alien Syndrome","Role-Playing","Sega","2007","Lawrence Holland","Missing",6,17,0.13,0,0,0.01,0.14,"Wii|PSP"
"87","Alien Trilogy","Shooter","Acclaim Entertainment","1996","Missing","The alien trilogy is based off from the first 3 alien movies",7.2,218,0.24,0.16,0.04,0.03,0.47,"PS"
"88","Alien: Isolation","Shooter","Sega","2014","Alistair Hope","In this first person survival horror adventure set fifteen years after the events of Alien (1979), Ripley's daughter becomes trapped on an alien-infested space station which holds answers to the mystery of her mother's disappearance.",8.7,5437,0.83,1.25,0.04,0.34,2.45,"PC|XOne|PS4|PS3|X360"
"89","Aliens: Colonial Marines","Shooter","Sega","2013","Brett Norton","After the events depicted in Aliens (1986) and Aliens: Fire and Stone. Michael Bishop Weyland sets up War against the Colonial Marines to cover up the Xeno conspiracy.",4.8,1234,0.66,0.74,0,0.22,1.62,"X360|PS3|PC"
"90","Aliens: Infestation","Action","Sega","2011","Adam Tierney","A group of colonial marines are sent to investigate the U.S.S Sulaco, where they uncover a nest of Xenomorphs.",6.8,23,0.1,0.06,0,0.02,0.18,"DS"
"91","All-Pro Football 2K8","Sports","Take-Two Interactive","2007","Missing","2K Sports brings football back to its videogame line-up with All-Pro Football 2K8, featuring legends of the gridiron brought together for a showdown of the greatest of the greats. The ...                See full synopsis »",7.8,25,0.38,0,0,0.03,0.41,"X360|PS3"
"92","All-Star Baseball 2000","Sports","Acclaim Entertainment","1999","Missing","Missing",6.6,14,0.36,0.03,0,0,0.39,"N64"
"93","All-Star Baseball 2001","Sports","Acclaim Entertainment","2000","Missing","Missing",5.5,8,0.22,0.01,0,0,0.23,"N64"
"94","All-Star Baseball 2003","Sports","Acclaim Entertainment","2002","Missing","Missing",6,7,0.8,0.42,0,0.11,1.33,"PS2|XB|GBA|GC"
"95","Alleyway","Puzzle","Nintendo","1989","Missing","You play as Mario in a capsule and you break blocks to advance to the next level.",6.7,26,0.96,0.38,0.55,0.05,1.94,"GB"
"96","Alone in the Dark","Adventure","Atari","1992","Frédérick Raynal, Franck de Girolami, Kiyoshi Ohkawa, Chuck Willen","Jeremy Hartwood, owner of Derceto has died recently. As either Edward Carnby or Emily Hartwood, explore the now abandoned mansion to discover why Jeremy committed suicide and what terrible secret lies within the walls.",7.9,359,0.26,0.41,0,0.08,0.74,"PS2|Wii|X360|PC"
"97","Alone in the Dark","Adventure","Atari","2008","David Nadal","Edward Carnby must investigate shadowy conspiracies that surround Central Park in New York City.",5.4,607,0.26,0.41,0,0.08,0.74,"PS2|Wii|X360|PC"
"98","Alone in the Dark: One-Eyed Jack's Revenge","Adventure","Infogrames","1993","Franck de Girolami, Kiyoshi Ohkawa, Christiane Sgorlon","One-Eyed Jack has kidnapped Grace Saunders. Now they and Jack's band of immortal pirates are at Hell's Kitchen, filled with boby traps, twists and turns for the worst. A man named Stryker ...                See full summary »",6.5,119,0.17,0.12,0,0.02,0.31,"PS"
"99","Alone in the Dark: The New Nightmare","Adventure","Infogrames","2001","Antoine Villette","Edward Carnby and Aline Cedrac are about to face their worst nightmare. Out to avenge the murder of their friend, Carnby and Aline arrive on Shadow Island and discover that it is caught in ...                See full summary »",7.3,292,0.09,0.06,0,0.01,0.16,"PS"
"100","Alpha Protocol","Role-Playing","Sega","2010","Mo Davoudian, Chris Parker, Ali Donovan","After a mission goes awry, Michael is cut off from all of his contacts and betrayed by his superiors and is being hunted by the United States government. He uses his undercover name ""Alpha Protocol"" and begins to uncover the conspiracy.",7.3,452,0.42,0.34,0,0.12,0.87,"PC|PS3|X360"
"101","Alter Echo","Shooter","THQ","2003","Missing","Missing",7.2,16,0.1,0.06,0,0.02,0.18,"PS2|XB"
"102","Alter Ego","Simulation","Activision","1986","Missing","RPG that simulates life choices and outcomes. Make choices for your character, who has physical, intellectual and other skills, to see how he or she ends up in life. Bad choices lead to disturbing deaths, smart choices lead to good life.",7.4,29,0,0.03,0,0.01,0.03,"PC"
"103","Alundra","Role-Playing","Psygnosis","1997","Yasuhiro Ohori","Alundra has been called to a troubled village after being plagued visions,where great evil lies there waiting.",7.9,125,0.13,0.09,0,0.01,0.23,"PS"
"104","Alvin and the Chipmunks","Misc","Brash Entertainment","2007","Missing","Video game based on the 2007 live-action feature ""Alvin and the Chipmunks"".",6.1,67,0.16,0.03,0,0.02,0.21,"PS2|DS"
"105","Alvin and the Chipmunks","Misc","Eidos Interactive","2007","Missing","Video game based on the 2007 live-action feature ""Alvin and the Chipmunks"".",6.1,67,0.05,0,0,0,0.06,"Wii"
"106","Alvin and the Chipmunks: Chipwrecked","Misc","505 Games","2011","Missing","Missing",3.7,37,0.23,0.05,0,0.03,0.31,"Wii|DS|X360"
"107","Alvin and the Chipmunks: The Squeakquel","Misc","Majesco Entertainment","2009","Missing","Alvin and the Chipmunks are touring once again. Join Alvin, Simon, Theodore and the Chipettes, Brittany, Jeanette and Eleanor on their tour around the world.",4.9,37,0.37,0,0,0.03,0.4,"DS|Wii"
"108","Amazing Island","Strategy","Sega","2004","Missing","Missing",4,12,0.04,0.01,0,0,0.06,"GC"
"109","America's Army: Rise of a Soldier","Shooter","Ubisoft","2005","Missing","Missing",7.7,27,0.19,0.05,0,0.01,0.25,"XB"
"110","America's Army: True Soldiers","Shooter","Ubisoft","2007","Lani Minella","Missing",2.1,25,0.08,0,0,0.01,0.08,"X360"
"111","America's Next Top Model","Action","Crave Entertainment","2010","Lani Minella","Missing",5,20,0.08,0,0,0.01,0.08,"Wii"
"112","America's Next Top Model","Action","Eidos Interactive","2010","Lani Minella","Missing",5,20,0.1,0,0,0.01,0.1,"DS"
"113","American Idol","Misc","Codemasters","2003","Missing","Do you have what it takes to impress Simon Cowell and the rest of the American Idol judges?",4.6,105,0.42,0.27,0,0.07,0.77,"GBA|PS2"
